iter	R2	RMSE
0	0.01140489117	0.6669507998
1	0.02073778514	0.6637951389
2	0.03063483003	0.6604322532
3	0.03373555867	0.6593751379
4	0.0428770637	0.6562486618
5	0.04659530551	0.6549727204
6	0.05517376978	0.652019433
7	0.06274431712	0.6494019826
8	0.06989398248	0.646920325
9	0.07830222322	0.6439895779
10	0.08390523119	0.6420291852
11	0.09026622949	0.6397963045
12	0.09130620894	0.6394305023
13	0.09953574401	0.6365284333
14	0.1038222241	0.6350115928
15	0.1083868289	0.6333923397
16	0.1132356097	0.6316677311
17	0.1165798964	0.6304754902
18	0.1219550308	0.6285545122
19	0.1243564567	0.6276943851
20	0.126433974	0.6269493215
21	0.1315067089	0.6251263464
22	0.1461804213	0.6198229085
23	0.150206606	0.6183597947
24	0.1543430219	0.6168530088
25	0.1586155201	0.6152927777
26	0.1647364803	0.6130506058
27	0.1738272946	0.6097053284
28	0.1783537607	0.6080327961
29	0.1825664615	0.6064720563
30	0.1894097106	0.6039281419
31	0.1966723054	0.601216566
32	0.2004846662	0.5997882695
33	0.2022190115	0.5991373722
34	0.2043681065	0.5983298377
35	0.2088122919	0.596656443
36	0.211672171	0.5955771099
37	0.2154231966	0.5941584813
38	0.2191676905	0.5927389366
39	0.2228986668	0.5913211271
40	0.2268775351	0.5898053606
41	0.2304148746	0.5884545179
42	0.2333087449	0.5873470933
43	0.2392111518	0.5850818662
44	0.2434569941	0.5834469573
45	0.247142653	0.5820240296
46	0.250416635	0.5807571147
47	0.2582687947	0.5777072852
48	0.2609733074	0.5766531004
49	0.2666527773	0.5744330178
50	0.2720980516	0.5722963946
51	0.2773312739	0.5702354324
52	0.2812642061	0.5686816383
53	0.2844109727	0.5674353727
54	0.2884125396	0.5658466019
55	0.2905298492	0.565004144
56	0.2952731437	0.5631122564
57	0.2981809807	0.5619493014
58	0.3038682024	0.5596677793
59	0.3101854599	0.557122555
60	0.3151568659	0.555111369
61	0.3241251153	0.5514647068
62	0.3284331688	0.5497043681
63	0.3324262701	0.5480676748
64	0.3348177894	0.547085094
65	0.3437601876	0.543395273
66	0.3468605617	0.5421101306
67	0.3500426094	0.5407879577
68	0.3573534985	0.537737895
69	0.3616080575	0.5359549266
70	0.3651683326	0.5344583422
71	0.3706627043	0.5321404883
72	0.373519363	0.5309313809
73	0.3749661596	0.5303179591
74	0.3773364539	0.5293114507
75	0.3805176421	0.5279575931
76	0.3860638186	0.5255888983
77	0.3903165032	0.5237653798
78	0.3923390253	0.5228959065
79	0.3953479374	0.5215997064
80	0.3996192492	0.5197541298
81	0.4023513137	0.518570197
82	0.404029058	0.5178418095
83	0.4085558279	0.5158713955
84	0.4114305157	0.5146161835
85	0.4156310991	0.5127765035
86	0.4171596617	0.512105417
87	0.4215798841	0.5101598344
88	0.4245720661	0.5088385886
89	0.427126473	0.5077079288
90	0.430224465	0.5063332734
91	0.4326955127	0.5052341273
92	0.4349959119	0.5042087337
93	0.4371447704	0.5032490013
94	0.4417151014	0.5012016698
95	0.4430069934	0.5006214343
96	0.4465565114	0.4990237438
97	0.4506348254	0.4971816961
98	0.4528119532	0.4961955554
99	0.4578702817	0.4938967592
100	0.4599824886	0.4929336776
101	0.4632731947	0.491429487
102	0.4662804925	0.4900508054
103	0.46876777	0.4889075871
104	0.4711390996	0.4878151669
105	0.4751189266	0.4859762275
106	0.4769976765	0.4851057005
107	0.478009084	0.484636413
108	0.4814204643	0.4830501889
109	0.4840852894	0.4818074651
110	0.4881970887	0.4798836406
111	0.490594787	0.4787582397
112	0.4947765109	0.4767891192
113	0.499131327	0.4747298102
114	0.5025244042	0.4731190764
115	0.5047958693	0.4720377138
116	0.5080680142	0.4704755946
117	0.5114802586	0.4688410482
118	0.5142979623	0.4674869928
119	0.5153100287	0.4669996831
120	0.5186829596	0.4653719338
121	0.5205071164	0.4644892336
122	0.5225188026	0.4635138399
123	0.5245755901	0.4625144515
124	0.5290154618	0.4603497313
125	0.5299568267	0.4598894467
126	0.5322087371	0.4587864914
127	0.5342772111	0.4577710393
128	0.5363557806	0.4567483569
129	0.5392290648	0.4553308827
130	0.5424820059	0.4537207682
131	0.5446579011	0.4526405643
132	0.5478503899	0.4510509993
133	0.5486419416	0.4506560121
134	0.5519145076	0.4490193021
135	0.5534390146	0.4482548092
136	0.5541990306	0.4478731974
137	0.5550654678	0.4474377534
138	0.5559048116	0.4470155212
139	0.5587903279	0.4455609089
140	0.5621415998	0.4438655222
141	0.5654631704	0.442178747
142	0.5662560345	0.441775159
143	0.5672049117	0.4412916711
144	0.5678221005	0.4409769062
145	0.5709599595	0.4393731173
146	0.5720228023	0.4388285596
147	0.5730549614	0.4382990754
148	0.5737200423	0.4379575585
149	0.574284648	0.437667426
150	0.5749598776	0.4373201949
151	0.5756139213	0.4369835953
152	0.5801499729	0.4346419713
153	0.5843831566	0.4324452576
154	0.5865108726	0.4313369034
155	0.5871413061	0.4310079553
156	0.5882150591	0.4304471128
157	0.5909469927	0.4290168639
158	0.591662374	0.428641552
159	0.5921598609	0.4283803606
160	0.5940896034	0.4273656935
161	0.5945714271	0.4271119724
162	0.5954352062	0.4266567416
163	0.5972795152	0.4256831204
164	0.5980916612	0.425253677
165	0.5988368381	0.4248592634
166	0.5996521715	0.4244272969
167	0.6032700262	0.4225052169
168	0.6037883017	0.4222291529
169	0.6042145827	0.4220019553
170	0.6075856757	0.4202009162
171	0.6119967915	0.4178325096
172	0.612765362	0.4174184758
173	0.616822929	0.4152257953
174	0.6185417865	0.4142934377
175	0.6208962843	0.4130128743
176	0.624759926	0.4109028707
177	0.6277453241	0.4092650415
178	0.6289890742	0.4085807663
179	0.6303704882	0.4078194065
180	0.6310656769	0.4074357185
181	0.6316614054	0.4071066367
182	0.6353447711	0.4050660003
183	0.6358889019	0.404763672
184	0.637218384	0.4040240377
185	0.6393838735	0.4028163974
186	0.6406692824	0.4020978411
187	0.6439076221	0.4002818588
188	0.6473974351	0.3983155878
189	0.6510791184	0.3962306341
190	0.6516870906	0.3958852805
191	0.6551690931	0.3939015241
192	0.658497481	0.3919959
193	0.6590998199	0.3916500482
194	0.6615657642	0.3902309523
195	0.6648907334	0.3883092961
196	0.6655158444	0.387946952
197	0.6684351039	0.38625031
198	0.671505242	0.3844579012
199	0.6727705721	0.3837167395
200	0.673820589	0.3831006079
201	0.6750289378	0.3823903413
202	0.6756180304	0.3820435942
203	0.6770506656	0.3811990115
204	0.6776175107	0.3808643218
205	0.6806787079	0.3790517517
206	0.6816264748	0.3784888082
207	0.6845302393	0.3767588279
208	0.6863363623	0.3756787727
209	0.6890845854	0.3740293616
210	0.6919315489	0.3723129835
211	0.6945507114	0.3707269242
212	0.6972987067	0.3690555215
213	0.6989258142	0.3680622946
214	0.7000752618	0.3673590246
215	0.7025106894	0.3658644831
216	0.703638025	0.3651706034
217	0.7061774648	0.363602717
218	0.7072918038	0.3629125699
219	0.7088722806	0.3619314712
220	0.7099501065	0.3612608705
221	0.7124116039	0.3597246911
222	0.7147647722	0.3582499594
223	0.7158130823	0.3575910248
224	0.7168508285	0.3569375321
225	0.7187936697	0.3557108525
226	0.7202937635	0.3547608149
227	0.722275365	0.3535019154
228	0.7244262874	0.3521303534
229	0.7265491525	0.350771424
230	0.7287273521	0.3493715786
231	0.7301469684	0.3484562188
232	0.7315532345	0.3475470902
233	0.7335775333	0.3462342219
234	0.7340279892	0.3459413989
235	0.7358895942	0.3447286076
236	0.7378165267	0.3434687466
237	0.739794738	0.3421705331
238	0.7402258691	0.3418869464
239	0.7410323368	0.3413558405
240	0.7417881921	0.3408573146
241	0.744162665	0.3392864614
242	0.7461145932	0.3379896787
243	0.7478723007	0.3368176561
244	0.7489255406	0.3361134078
245	0.7509645093	0.3347458418
246	0.7517604461	0.3342104768
247	0.7520531013	0.3340134146
248	0.7542377453	0.3325386737
249	0.7559975783	0.3313459276
250	0.7577831087	0.3301313607
251	0.7580682199	0.3299370063
252	0.7596343346	0.3288673697
253	0.761498964	0.3275892969
254	0.7627600827	0.3267220542
255	0.7630327469	0.3265342464
256	0.7637568858	0.3260349431
257	0.7640213961	0.325852369
