iter	Passed	Remaining
0	0	648
1	0	490
2	1	429
3	1	388
4	2	402
5	2	373
6	2	352
7	2	336
8	2	323
9	3	311
10	3	308
11	3	304
12	3	298
13	4	292
14	4	294
15	4	292
16	4	288
17	5	283
18	5	279
19	5	276
20	5	273
21	6	270
22	6	270
23	6	270
24	6	270
25	7	269
26	7	268
27	7	267
28	7	265
29	8	263
30	8	261
31	8	266
32	9	265
33	9	263
34	9	261
35	9	260
36	9	258
37	10	257
38	10	256
39	10	254
40	10	253
41	11	252
42	11	255
43	11	254
44	11	253
45	12	253
46	12	253
47	12	256
48	13	256
49	13	255
50	13	254
51	13	253
52	14	252
53	14	251
54	14	251
55	14	250
56	15	249
57	15	249
58	15	249
59	15	248
60	16	248
61	16	247
62	16	246
63	16	245
64	17	246
65	17	245
66	17	244
67	17	243
68	17	242
69	18	242
70	18	245
71	19	247
72	19	248
73	19	248
74	20	248
75	20	247
76	20	247
77	20	247
78	21	247
79	21	246
80	21	246
81	21	245
82	22	244
83	22	243
84	22	242
85	22	242
86	23	241
87	23	241
88	23	240
89	23	239
90	23	239
91	24	238
92	24	237
93	24	237
94	24	237
95	25	236
96	25	235
97	25	235
98	25	234
99	25	233
100	26	232
101	26	232
102	26	232
103	26	232
104	27	231
105	27	230
106	27	230
107	27	230
108	28	229
109	28	229
110	28	229
111	28	228
112	29	227
113	29	227
114	29	226
115	29	227
116	30	227
117	30	226
118	30	225
119	30	225
120	31	226
121	31	225
122	31	225
123	31	225
124	32	225
125	32	225
126	32	225
127	33	225
128	33	224
129	33	223
130	33	223
131	33	222
132	34	223
133	34	222
134	34	222
135	34	221
136	35	221
137	35	220
138	35	220
139	35	220
140	36	220
141	36	219
142	36	219
143	36	218
144	36	217
145	37	217
146	37	216
147	37	216
148	37	215
149	37	215
150	38	214
151	38	214
152	38	214
153	38	213
154	39	213
155	39	212
156	39	212
157	39	212
158	40	211
159	40	211
160	40	211
161	40	211
162	41	211
163	41	210
164	41	210
165	41	209
166	41	209
167	42	209
168	42	208
169	42	208
170	42	208
171	43	207
172	43	207
173	43	207
174	43	207
175	44	206
176	44	206
177	44	206
178	44	205
179	45	205
180	45	205
181	45	205
182	45	204
183	46	204
184	46	203
185	46	203
186	46	203
187	47	203
188	47	202
189	47	202
190	47	201
191	47	201
192	48	201
193	48	201
194	48	201
195	48	200
196	49	200
197	49	200
198	49	199
199	49	199
200	50	199
201	50	199
202	50	199
203	50	198
204	51	198
205	51	198
206	51	197
207	51	197
208	52	197
209	52	197
210	52	196
211	53	197
212	53	196
213	53	196
214	53	195
215	53	195
216	54	195
217	54	194
218	54	194
219	54	194
220	55	193
221	55	193
222	55	193
223	55	193
224	56	192
225	56	192
226	56	192
227	56	191
228	56	191
229	57	191
230	57	190
231	57	190
232	57	190
233	57	189
234	58	189
235	58	189
236	58	189
237	58	188
238	59	188
239	59	188
240	59	188
241	59	187
242	60	187
243	60	187
244	60	186
245	60	186
246	61	186
247	61	186
248	61	185
249	61	185
250	62	185
251	62	184
252	62	184
253	62	184
254	62	183
255	63	183
256	63	183
257	63	182
258	63	182
259	64	182
260	64	182
261	64	181
262	64	181
263	64	181
264	65	180
265	65	180
266	65	180
267	65	180
268	66	179
269	66	179
270	66	179
271	66	179
272	67	178
273	67	178
274	67	178
275	67	177
276	68	177
277	68	177
278	68	176
279	68	176
280	68	176
281	69	175
282	69	175
283	69	175
284	69	174
285	70	174
286	70	174
287	70	174
288	70	174
289	70	173
290	71	173
291	71	173
292	71	172
293	71	172
294	72	172
295	72	172
296	72	171
297	72	171
298	73	171
299	73	170
300	73	170
301	73	170
302	73	170
303	74	169
304	74	169
305	74	169
306	74	169
307	75	168
308	75	168
309	75	168
310	75	167
311	76	167
312	76	167
313	76	166
314	76	166
315	76	166
316	77	166
317	77	166
318	77	165
319	77	165
320	78	165
321	78	164
322	78	164
323	78	164
324	78	163
325	79	163
326	79	163
327	79	163
328	79	163
329	80	163
330	80	162
331	80	162
332	80	162
333	81	161
334	81	161
335	81	161
336	81	161
337	82	160
338	82	160
339	82	160
340	82	160
341	83	159
342	83	159
343	83	159
344	83	158
345	83	158
346	84	158
347	84	157
348	84	157
349	84	157
350	85	157
351	85	157
352	85	156
353	85	156
354	86	156
355	86	156
356	86	155
357	86	155
358	86	155
359	87	154
360	87	154
361	87	154
362	87	153
363	88	153
364	88	153
365	88	153
366	88	152
367	88	152
368	89	152
369	89	152
370	89	151
371	89	151
372	89	151
373	90	151
374	90	150
375	90	150
376	90	150
377	91	149
378	91	149
379	91	149
380	91	149
381	91	148
382	92	148
383	92	148
384	92	147
385	92	147
386	93	147
387	93	147
388	93	146
389	93	146
390	93	146
391	94	145
392	94	145
393	94	145
394	94	145
395	94	144
396	95	144
